Contract Count,ID,LGA,Population,TargetedGroup,Service,Agency,Indigenous,SEIFA,Year
1,32116-01,Newcastle,160021,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Indigenous,72,Y 2014
1,32116-01,Port Stephens,69728,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Indigenous,58,Y 2014
1,32116-01,Singleton,23884,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Indigenous,76,Y 2014
1,32116-01,Upper Hunter,14658,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Indigenous,56,Y 2014
1,32300-01,Kiama,21314,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,84,Y 2014
1,32300-01,Shellharbour,68762,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,53,Y 2014
1,32300-01,Shoalhaven,99016,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,41,Y 2014
1,32300-01,Wollongong,206794,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,65,Y 2014
1,32438-01,Albury,51082,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,57,Y 2014
1,32438-01,Berrigan,8413,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,32,Y 2014
1,32438-01,Bland,5994,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,51,Y 2014
1,32438-01,Carrathool,2795,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,50,Y 2014
1,32438-01,Conargo,1535,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,82,Y 2014
1,32438-01,Coolamon,4308,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,52,Y 2014
1,32438-01,Cootamundra,7749,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,21,Y 2014
1,32438-01,Corowa,11455,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,38,Y 2014
1,32438-01,Deniliquin,7437,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,21,Y 2014
1,32438-01,Greater Hume,10258,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,63,Y 2014
1,32438-01,Griffith,25811,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,48,Y 2014
1,32438-01,Gundagai,3755,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,42,Y 2014
1,32438-01,Hay,2989,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,14,Y 2014
1,32438-01,Jerilderie,1519,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,66,Y 2014
1,32438-01,Junee,6297,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,23,Y 2014
1,32438-01,Leeton,11595,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,33,Y 2014
1,32438-01,Lockhart,3080,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,67,Y 2014
1,32438-01,Murray,7466,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,56,Y 2014
1,32438-01,Murrumbidgee,2528,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,17,Y 2014
1,32438-01,Narrandera,5961,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,12,Y 2014
1,32438-01,Temora,6050,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,30,Y 2014
1,32438-01,Tumbarumba,3578,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,39,Y 2014
1,32438-01,Tumut,11375,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,27,Y 2014
1,32438-01,Urana,1147,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,20,Y 2014
1,32438-01,Wagga Wagga,62799,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,71,Y 2014
1,32438-01,Wakool,3990,3893 Other needs (correctional interven.),A01.4 Daily living support,FACS,Non Indigenous,54,Y 2014
1,33377-01,Blue Mountains,79688,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,82,Y 2014
1,33377-01,Hawkesbury,65527,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,77,Y 2014
1,33377-01,Lithgow,21249,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,15,Y 2014
1,33377-01,Penrith,194134,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,71,Y 2014
1,33389-01,Hornsby,168614,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,93,Y 2014
1,33389-01,Hunters Hill,14689,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,95,Y 2014
1,33389-01,Ku-Ring-Gai,120978,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,100,Y 2014
1,33389-01,Lane Cove,34807,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,99,Y 2014
1,33389-01,Manly,44786,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,96,Y 2014
1,33389-01,Mosman,30276,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,99,Y 2014
1,33389-01,North Sydney,71025,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,97,Y 2014
1,33389-01,Pittwater,63338,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,95,Y 2014
1,33389-01,Ryde,114598,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,89,Y 2014
1,33389-01,Warringah,155289,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,91,Y 2014
1,33389-01,Willoughby,74166,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,94,Y 2014
1,33392-01,Botany Bay,44742,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,69,Y 2014
1,33392-01,Hurstville,85886,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,78,Y 2014
1,33392-01,Kogarah,61030,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,86,Y 2014
1,33392-01,Randwick,143776,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,88,Y 2014
1,33392-01,Rockdale,108072,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,75,Y 2014
1,33392-01,Sutherland,225070,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,89,Y 2014
1,33392-01,Sydney City,198331,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,85,Y 2014
1,33392-01,Waverley,71769,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,92,Y 2014
1,33392-01,Woollahra,58619,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Indigenous,98,Y 2014
1,LEAS-23719,Kogarah,61030,110 All (general population),A10.2 Affordable Housing ,FACS,Non Indigenous,86,Y 2014
1,LEAS-29488,Kogarah,61030,110 All (general population),A10.3 Rent assistance (private rental),FACS,Non Indigenous,86,Y 2014
1,LEAS-30123,Lachlan,6775,110 All (general population),A10.1 Provision of social housing ,FACS,Non Indigenous,26,Y 2014
1,LEAS-31647,Sutherland,225070,110 All (general population),A10.2 Affordable Housing ,FACS,Non Indigenous,89,Y 2014
1,LEAS-33966,Liverpool Plains,7819,110 All (general population),A10.1 Provision of social housing ,FACS,Non Indigenous,13,Y 2014
1,LEAS-35240,Penrith,194134,110 All (general population),A10.2 Affordable Housing ,FACS,Non Indigenous,71,Y 2014
1,LEAS-37309,Willoughby,74166,110 All (general population),A10.3 Rent assistance (private rental),FACS,Non Indigenous,94,Y 2014
1,LEAS-61224,Ku-Ring-Gai,120978,110 All (general population),A10.3 Rent assistance (private rental),FACS,Non Indigenous,100,Y 2014
1,LEAS-69912,Gloucester,5064,110 All (general population),A10.1 Provision of social housing ,FACS,Non Indigenous,31,Y 2014
1,PROPAG-88377,Forbes,9759,110 All (general population),A10.1 Provision of social housing ,FACS,Non Indigenous,29,Y 2014
1,G1415CC1,Gosford,171992,349 Other specified health needs,A09.3 Health Support,Health,Non Indigenous,75,Y 2014
1,G1415CC1,Wyong,159015,349 Other specified health needs,A09.3 Health Support,Health,Non Indigenous,37,Y 2014
1,G1415CC12,Gosford,171992,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,75,Y 2014
1,G1415CC12,Wyong,159015,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,37,Y 2014
1,G1415CC14,Gosford,171992,341 Infants/children health care,A07.9 Service & community dev. (general),Health,Non Indigenous,75,Y 2014
1,G1415CC14,Wyong,159015,341 Infants/children health care,A07.9 Service & community dev. (general),Health,Non Indigenous,37,Y 2014
1,G1415CC2,Gosford,171992,337 Aged care needs,A07.9 Service & community dev. (general),Health,Non Indigenous,75,Y 2014
1,G1415CC2,Wyong,159015,337 Aged care needs,A07.9 Service & community dev. (general),Health,Non Indigenous,37,Y 2014
1,G1415CC3,Gosford,171992,349 Other specified health needs,A07.9 Service & community dev. (general),Health,Non Indigenous,75,Y 2014
1,G1415CC3,Wyong,159015,349 Other specified health needs,A07.9 Service & community dev. (general),Health,Non Indigenous,37,Y 2014
1,G1415CC4,Gosford,171992,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,75,Y 2014
1,G1415CC4,Wyong,159015,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,37,Y 2014
1,G1415CC6,Gosford,171992,349 Other specified health needs,A09.1 Mental Health,Health,Non Indigenous,75,Y 2014
1,G1415CC6,Wyong,159015,349 Other specified health needs,A09.1 Mental Health,Health,Non Indigenous,37,Y 2014
1,G1415FW1,Balranald,2400,349 Other specified health needs,A09.1 Mental Health,Health,Non Indigenous,22,Y 2014
1,G1415FW1,Broken Hill,19048,349 Other specified health needs,A09.1 Mental Health,Health,Non Indigenous,6,Y 2014
1,G1415FW1,Central Darling,2065,349 Other specified health needs,A09.1 Mental Health,Health,Non Indigenous,2,Y 2014
1,G1415FW1,Unincorporated NSW,1122,349 Other specified health needs,A09.1 Mental Health,Health,Non Indigenous,76,Y 2014
1,G1415FW1,Wentworth,6884,349 Other specified health needs,A09.1 Mental Health,Health,Non Indigenous,43,Y 2014
1,G1415FW2,Balranald,2400,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,22,Y 2014
1,G1415FW2,Wentworth,6884,423 Service provider NGOs,A07.9 Service & community dev. (general),Health,Non Indigenous,43,Y 2014
1,G1415FW3,Balranald,2400,393 Victims of sexual abuse/violence,A09.1 Mental Health,Health,Non Indigenous,22,Y 2014
1,G1415FW3,Wentworth,6884,393 Victims of sexual abuse/violence,A09.1 Mental Health,Health,Non Indigenous,43,Y 2014
1,G1415FW4,Central Darling,2065,398 Problematic alcohol/drug use,A07.9 Service & community dev. (general),Health,Non Indigenous,2,Y 2014
1,G1415FW6,Central Darling,2065,120 Rural/remote communities,A09.3 Health Support,Health,Non Indigenous,2,Y 2014
1,G1415FW6,Unincorporated NSW,1122,120 Rural/remote communities,A09.3 Health Support,Health,Non Indigenous,76,Y 2014
1,G1415FW7,Broken Hill,19048,330 Primary health care needs,A09.2 Preventative Health Service,Health,Non Indigenous,6,Y 2014
1,G1415FW7,Central Darling,2065,330 Primary health care needs,A09.2 Preventative Health Service,Health,Non Indigenous,2,Y 2014
1,G1415FW7,Unincorporated NSW,1122,330 Primary health care needs,A09.2 Preventative Health Service,Health,Non Indigenous,76,Y 2014
1,C1415HN1,Armidale Dumaresq,25327,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,67,Y 2014
1,C1415HN1,Cessnock,54979,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,19,Y 2014
1,C1415HN1,Dungog,9108,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,63,Y 2014
1,C1415HN1,Glen Innes Severn,8966,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,13,Y 2014
1,C1415HN1,Gloucester,5064,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,31,Y 2014
1,C1415HN1,Great Lakes,36499,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,17,Y 2014
1,C1415HN1,Greater Taree,48941,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,8,Y 2014
1,C1415HN1,Gunnedah,12826,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,28,Y 2014
1,C1415HN1,Guyra,4619,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,18,Y 2014
1,C1415HN1,Gwydir,5080,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,25,Y 2014
1,C1415HN1,Inverell,16846,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,12,Y 2014
1,C1415HN1,Lake Macquarie,202676,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,69,Y 2014
1,C1415HN1,Liverpool Plains,7819,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,13,Y 2014
1,C1415HN1,Maitland,75170,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,70,Y 2014
1,C1415HN1,Moree Plains,14092,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,15,Y 2014
1,C1415HN1,Muswellbrook,17045,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,51,Y 2014
1,C1415HN1,Narrabri,13764,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,36,Y 2014
1,C1415HN1,Newcastle,160021,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,72,Y 2014
1,C1415HN1,Port Stephens,69728,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,58,Y 2014
1,C1415HN1,Singleton,23884,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,76,Y 2014
1,C1415HN1,Tamworth,60495,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,45,Y 2014
1,C1415HN1,Tenterfield,6980,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,10,Y 2014
1,C1415HN1,Upper Hunter,14658,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,56,Y 2014
1,C1415HN1,Uralla,6408,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,62,Y 2014
1,C1415HN1,Walcha,3098,399 Other individuals (special needs),A09.1 Mental Health,Health,Non Indigenous,55,Y 2014
1,C1415HN2,Armidale Dumaresq,25327,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,67,Y 2014
1,C1415HN2,Cessnock,54979,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,19,Y 2014
1,C1415HN2,Dungog,9108,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,63,Y 2014
1,C1415HN2,Glen Innes Severn,8966,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,13,Y 2014
1,C1415HN2,Gloucester,5064,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,31,Y 2014
1,C1415HN2,Great Lakes,36499,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,17,Y 2014
1,C1415HN2,Greater Taree,48941,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,8,Y 2014
1,C1415HN2,Gunnedah,12826,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,28,Y 2014
1,C1415HN2,Guyra,4619,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,18,Y 2014
1,C1415HN2,Gwydir,5080,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,25,Y 2014
1,C1415HN2,Inverell,16846,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,12,Y 2014
1,C1415HN2,Lake Macquarie,202676,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,69,Y 2014
1,C1415HN2,Liverpool Plains,7819,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,13,Y 2014
1,C1415HN2,Maitland,75170,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,70,Y 2014
1,C1415HN2,Moree Plains,14092,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,15,Y 2014
1,C1415HN2,Muswellbrook,17045,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,51,Y 2014
1,C1415HN2,Narrabri,13764,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,36,Y 2014
1,C1415HN2,Newcastle,160021,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,72,Y 2014
1,C1415HN2,Port Stephens,69728,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,58,Y 2014
1,C1415HN2,Singleton,23884,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,76,Y 2014
1,C1415HN2,Tamworth,60495,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,45,Y 2014
1,C1415HN2,Tenterfield,6980,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,10,Y 2014
1,C1415HN2,Upper Hunter,14658,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,56,Y 2014
1,C1415HN2,Uralla,6408,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,62,Y 2014
1,C1415HN2,Walcha,3098,514 Human services professionals,A07.1 Service support and development,Health,Non Indigenous,55,Y 2014
1,G1415HN1,Armidale Dumaresq,25327,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,67,Y 2014
1,G1415HN1,Cessnock,54979,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,19,Y 2014
1,G1415HN1,Dungog,9108,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,63,Y 2014
1,G1415HN1,Glen Innes Severn,8966,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,13,Y 2014
1,G1415HN1,Gloucester,5064,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,31,Y 2014
1,G1415HN1,Great Lakes,36499,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,17,Y 2014
1,G1415HN1,Greater Taree,48941,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,8,Y 2014
1,G1415HN1,Gunnedah,12826,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,28,Y 2014
1,G1415HN1,Guyra,4619,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,18,Y 2014
1,G1415HN1,Gwydir,5080,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,25,Y 2014
1,G1415HN1,Inverell,16846,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,12,Y 2014
1,G1415HN1,Lake Macquarie,202676,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,69,Y 2014
1,G1415HN1,Liverpool Plains,7819,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,13,Y 2014
1,G1415HN1,Maitland,75170,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,70,Y 2014
1,G1415HN1,Moree Plains,14092,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,15,Y 2014
1,G1415HN1,Muswellbrook,17045,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,51,Y 2014
1,G1415HN1,Narrabri,13764,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,36,Y 2014
1,G1415HN1,Newcastle,160021,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,72,Y 2014
1,G1415HN1,Port Stephens,69728,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,58,Y 2014
1,G1415HN1,Singleton,23884,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,76,Y 2014
1,G1415HN1,Tamworth,60495,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,45,Y 2014
1,G1415HN1,Tenterfield,6980,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,10,Y 2014
1,G1415HN1,Upper Hunter,14658,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,56,Y 2014
1,G1415HN1,Uralla,6408,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,62,Y 2014
1,G1415HN1,Walcha,3098,129 Other specified communities,A07.9 Service & community dev. (general),Health,Non Indigenous,55,Y 2014
1,G1415HN11,Armidale Dumaresq,25327,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,67,Y 2014
1,G1415HN11,Cessnock,54979,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,19,Y 2014
1,G1415HN11,Dungog,9108,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,63,Y 2014
1,G1415HN11,Glen Innes Severn,8966,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,13,Y 2014
1,G1415HN11,Gloucester,5064,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,31,Y 2014
1,G1415HN11,Great Lakes,36499,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,17,Y 2014
1,G1415HN11,Greater Taree,48941,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,8,Y 2014
1,G1415HN11,Gunnedah,12826,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,28,Y 2014
1,G1415HN11,Guyra,4619,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,18,Y 2014
1,G1415HN11,Gwydir,5080,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,25,Y 2014
1,G1415HN11,Inverell,16846,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,12,Y 2014
1,G1415HN11,Lake Macquarie,202676,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,69,Y 2014
1,G1415HN11,Liverpool Plains,7819,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,13,Y 2014
1,G1415HN11,Maitland,75170,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,70,Y 2014
1,G1415HN11,Moree Plains,14092,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,15,Y 2014
1,G1415HN11,Muswellbrook,17045,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,51,Y 2014
1,G1415HN11,Narrabri,13764,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,36,Y 2014
1,G1415HN11,Newcastle,160021,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,72,Y 2014
1,G1415HN11,Port Stephens,69728,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,58,Y 2014
1,G1415HN11,Singleton,23884,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,76,Y 2014
1,G1415HN11,Tamworth,60495,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,45,Y 2014
1,G1415HN11,Tenterfield,6980,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,10,Y 2014
1,G1415HN11,Upper Hunter,14658,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,56,Y 2014
1,G1415HN11,Uralla,6408,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,62,Y 2014
1,G1415HN11,Walcha,3098,334 Chronic conditions (ongoing),A07.9 Service & community dev. (general),Health,Non Indigenous,55,Y 2014
1,G1415HN12,Armidale Dumaresq,25327,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,67,Y 2014
1,G1415HN12,Cessnock,54979,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,19,Y 2014
1,G1415HN12,Dungog,9108,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,63,Y 2014
1,G1415HN12,Glen Innes Severn,8966,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,13,Y 2014
1,G1415HN12,Gloucester,5064,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,31,Y 2014
1,G1415HN12,Great Lakes,36499,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,17,Y 2014
1,G1415HN12,Greater Taree,48941,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,8,Y 2014
1,G1415HN12,Gunnedah,12826,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,28,Y 2014
1,G1415HN12,Guyra,4619,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,18,Y 2014
1,G1415HN12,Gwydir,5080,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,25,Y 2014
1,G1415HN12,Inverell,16846,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,12,Y 2014
1,G1415HN12,Lake Macquarie,202676,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,69,Y 2014
1,G1415HN12,Liverpool Plains,7819,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,13,Y 2014
1,G1415HN12,Maitland,75170,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,70,Y 2014
1,G1415HN12,Moree Plains,14092,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,15,Y 2014
1,G1415HN12,Muswellbrook,17045,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,51,Y 2014
1,G1415HN12,Narrabri,13764,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,36,Y 2014
1,G1415HN12,Newcastle,160021,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,72,Y 2014
1,G1415HN12,Port Stephens,69728,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,58,Y 2014
1,G1415HN12,Singleton,23884,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,76,Y 2014
1,G1415HN12,Tamworth,60495,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,45,Y 2014
1,G1415HN12,Tenterfield,6980,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,10,Y 2014
1,G1415HN12,Upper Hunter,14658,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,56,Y 2014
1,G1415HN12,Uralla,6408,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,62,Y 2014
1,G1415HN12,Walcha,3098,512 Human services volunteers,A09.2 Preventative Health Service,Health,Non Indigenous,55,Y 2014
1,G1415HN15,Armidale Dumaresq,25327,349 Other specified health needs,A02.6 Carer support,Health,Non Indigenous,67,Y 2014
1,G1415HN15,Cessnock,54979,349 Other specified health needs,A02.6 Carer support,Health,Non Indigenous,19,Y 2014
1,G1415HN15,Dungog,9108,349 Other specified health needs,A02.6 Carer support,Health,Non Indigenous,63,Y 2014
1,G1415HN15,Glen Innes Severn,8966,349 Other specified health needs,A02.6 Carer support,Health,Non Indigenous,13,Y 2014
